school_name,year,StudentID,First Name,Last Name,Year Level,Class,Subject,Answers,Correct Answers,Question Number,Subject Contents,Assessment Areas,sydney_correct_count_percentage,sydney_average_score,sydney_participants,student_score,student_total_assessed,student_area_assessed_score,total_area_assessed_score,participant,correct_answer_percentage_per_class,average_score,school_percentile,sydney_percentile,strength_status,high_distinct_count,distinct_count,credit_count,participant_count,awarDistinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Music,D,B,5,Subject Content 4 for Music,Assessment Area 4 for Music,89.41,20.09,26,48.04,72,19,10.68,13,37.17,62.89,45,20,W,50,88,93,75,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Music,C,D,20,Subject Content 5 for Music,Assessment Area 5 for Music,25.35,55.84,76,7.97,31,63.34,13.39,18,18.06,28.03,14,83,W,72,23,80,31,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Music,B,C,3,Subject Content 6 for Music,Assessment Area 6 for Music,41.55,56.11,16,41.4,97,37.8,0.49,91,39.82,66.4,78,92,W,51,78,85,41,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Music,A,C,8,Subject Content 7 for Music,Assessment Area 7 for Music,73.28,3.22,88,15.12,62,94.83,22.96,43,80.48,7.48,33,61,W,41,36,54,10,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Music,B,Z,12,Subject Content 8 for Music,Assessment Area 8 for Music,36.39,30.17,100,63.17,30,56.55,43.97,74,33.56,56.39,13,76,W,24,89,54,84,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Music,C,Z,15,Subject Content 9 for Music,Assessment Area 9 for Music,29.83,88.29,45,2.61,31,62.34,52.73,52,25.47,20.39,22,2,W,68,9,94,25,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Music,D,A,13,Subject Content 10 for Music,Assessment Area 10 for Music,28.72,44.68,84,80.55,51,52.86,76.06,89,26.69,70.05,6,3,W,82,81,64,66,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Music,B,Z,18,Subject Content 1 for Music,Assessment Area 1 for Music,36.89,46.44,100,60.52,83,87.91,19.13,29,72.46,32.23,64,50,W,47,82,6,40,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Music,A,Z,9,Subject Content 2 for Music,Assessment Area 2 for Music,55.05,27.09,82,90.95,84,94.27,42.82,11,58.89,95.81,54,73,W,10,41,67,39,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Music,B,D,11,Subject Content 3 for Music,Assessment Area 3 for Music,8.22,0.06,46,1.71,30,95.99,2.89,54,16.14,93.53,39,23,W,75,64,86,86,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Music,D,B,1,Subject Content 4 for Music,Assessment Area 4 for Music,81.75,79.04,83,73.74,89,4.87,82.07,52,29.86,49.76,11,49,W,75,96,21,94,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Music,A,C,2,Subject Content 5 for Music,Assessment Area 5 for Music,79.66,10.45,53,70.48,55,39.41,47.61,72,27.4,11.32,82,84,W,79,67,48,9,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Music,D,B,17,Subject Content 6 for Music,Assessment Area 6 for Music,81.86,66.54,57,8.51,14,22.73,69.47,72,58.53,59.26,93,5,W,90,3,46,81,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Music,D,C,21,Subject Content 7 for Music,Assessment Area 7 for Music,54.9,72.63,77,18.83,43,29.29,1.56,94,38.27,5.78,64,18,W,66,88,60,34,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Music,D,B,25,Subject Content 8 for Music,Assessment Area 8 for Music,86.45,72.12,21,37.86,16,73.47,2.95,13,7.01,77.61,91,38,W,77,63,40,34,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Music,D,B,10,Subject Content 9 for Music,Assessment Area 9 for Music,62.66,41.58,10,90.47,81,45.24,62.91,42,46.82,92.41,42,61,W,45,91,37,70,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Music,D,C,23,Subject Content 10 for Music,Assessment Area 10 for Music,27.53,23.72,25,9.95,17,78.86,90.37,54,22.1,2.67,42,87,W,25,36,54,10,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Music,D,B,6,Subject Content 1 for Music,Assessment Area 1 for Music,97.93,85.24,95,62.22,91,93.81,16.2,89,97.42,80.68,28,50,W,71,20,99,30,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Music,C,D,7,Subject Content 2 for Music,Assessment Area 2 for Music,86.95,39.95,33,71.49,92,37.62,16.24,55,79.28,60.12,77,39,W,97,6,98,89,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Music,D,D,22,Subject Content 3 for Music,Assessment Area 3 for Music,10.5,86.75,34,72.66,21,10.52,37.14,49,6.56,87.09,84,2,W,39,21,53,98,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Music,B,A,19,Subject Content 4 for Music,Assessment Area 4 for Music,86.05,42.53,62,52.93,84,23.24,20.08,11,90.23,78.56,69,29,W,90,9,39,26,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Music,A,A,24,Subject Content 5 for Music,Assessment Area 5 for Music,50.88,14.08,51,45.48,14,27.67,47.62,66,90.33,76.6,56,17,W,93,90,54,17,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Art,C,B,5,Subject Content 1 for Art,Assessment Area 1 for Art,2.21,54.91,61,86.03,53,85.2,25.72,46,39.64,47.92,22,56,W,80,5,27,70,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Art,D,D,9,Subject Content 2 for Art,Assessment Area 2 for Art,85.05,52.01,78,41.04,94,80.14,35.55,33,90.95,92.02,96,70,W,70,4,38,48,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Art,A,A,24,Subject Content 3 for Art,Assessment Area 3 for Art,17.66,56.07,91,10.16,46,60.8,32.11,20,33.99,78.87,27,29,W,27,45,26,27,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Art,B,D,7,Subject Content 4 for Art,Assessment Area 4 for Art,51.19,49.81,95,62.71,94,78.97,75.78,99,78.28,56.89,4,44,W,11,29,66,51,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Art,B,A,22,Subject Content 5 for Art,Assessment Area 5 for Art,66.32,18.96,71,82.76,61,88.97,45.4,80,39.01,5.33,97,71,W,89,22,35,61,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Art,C,C,18,Subject Content 6 for Art,Assessment Area 6 for Art,90.39,36.05,34,40.31,14,33.44,63.82,25,80.28,9.18,44,91,W,40,36,72,58,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Art,B,C,15,Subject Content 7 for Art,Assessment Area 7 for Art,96.82,76.89,67,90.24,67,35.89,23.5,17,65.66,58.6,24,63,W,17,22,22,58,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Art,B,C,11,Subject Content 8 for Art,Assessment Area 8 for Art,23.18,5.36,65,85.13,75,89.95,26.98,30,76.41,16.68,18,20,W,97,74,1,5,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Art,C,D,2,Subject Content 9 for Art,Assessment Area 9 for Art,42.97,60.43,83,30.44,79,65.75,43.44,70,46.41,30.3,64,21,W,3,44,53,86,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Art,C,A,10,Subject Content 10 for Art,Assessment Area 10 for Art,15.7,73.43,44,72.46,86,76.67,90.27,31,13.83,60.52,59,51,W,75,25,1,27,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Art,B,D,20,Subject Content 1 for Art,Assessment Area 1 for Art,62.14,96.72,70,58.44,73,44.78,41.83,74,14.27,80.22,58,11,W,69,85,25,51,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Art,B,B,3,Subject Content 2 for Art,Assessment Area 2 for Art,43.07,13.13,90,70.3,21,43.44,8.84,53,82.53,29.51,59,7,W,33,68,44,54,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Art,C,C,4,Subject Content 3 for Art,Assessment Area 3 for Art,19.17,63.6,81,0.59,39,99.21,21.73,62,35.56,71.74,74,24,W,97,22,46,100,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Art,A,D,13,Subject Content 4 for Art,Assessment Area 4 for Art,52.64,62.3,100,55.2,37,36.56,97.48,52,6.02,61.14,91,93,W,73,23,48,7,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Art,D,B,16,Subject Content 5 for Art,Assessment Area 5 for Art,85.07,98.38,41,72.15,10,57.5,53.06,71,98.28,19.2,52,90,W,25,56,77,93,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Art,B,B,17,Subject Content 6 for Art,Assessment Area 6 for Art,90.34,39.19,55,1.94,10,36.73,71.84,18,96.24,1.94,74,60,W,28,79,82,7,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Art,C,B,1,Subject Content 7 for Art,Assessment Area 7 for Art,7.58,14.29,69,66.79,73,32.26,34.64,74,24.6,23.28,83,65,W,40,66,1,17,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Art,C,B,14,Subject Content 8 for Art,Assessment Area 8 for Art,94.88,99.69,32,53.94,25,18.72,62.04,40,21.4,94.72,12,70,W,86,8,58,86,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Art,B,A,23,Subject Content 9 for Art,Assessment Area 9 for Art,67.25,27.38,14,36.03,43,92.24,18.94,19,41.55,14.88,72,38,W,65,14,78,5,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Art,A,B,12,Subject Content 10 for Art,Assessment Area 10 for Art,14.43,89.65,35,26.41,86,44.08,57.58,52,58.99,95.02,92,20,W,85,42,42,65,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Art,B,Z,19,Subject Content 1 for Art,Assessment Area 1 for Art,48.63,92.98,60,63.07,84,61.31,3.1,44,26.69,1.84,42,63,W,2,83,45,12,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Art,B,A,8,Subject Content 2 for Art,Assessment Area 2 for Art,19.68,28.93,65,91.98,82,65.44,12.97,33,58.9,52.03,86,64,W,56,49,56,14,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Art,B,Z,21,Subject Content 3 for Art,Assessment Area 3 for Art,60.64,49.59,62,76.06,95,17.36,18.46,18,96.83,70.73,86,5,W,53,16,2,44,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Art,A,Z,6,Subject Content 4 for Art,Assessment Area 4 for Art,72.27,93.01,14,67,71,41.15,41.9,43,75.93,95.19,42,33,W,95,61,61,28,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Art,B,Z,25,Subject Content 5 for Art,Assessment Area 5 for Art,81.04,11.83,21,32.06,38,38.78,85.73,80,30.65,28.06,67,35,W,82,48,16,12,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Music,D,B,1,Subject Content 1 for Music,Assessment Area 1 for Music,27.48,43.78,66,79.71,17,54.84,25.16,38,49.05,96.45,44,86,W,91,74,37,6,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Music,B,D,7,Subject Content 2 for Music,Assessment Area 2 for Music,60.91,85.9,92,98.24,75,68.6,89.55,41,69.07,76.71,56,74,W,60,20,77,17,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Music,A,A,21,Subject Content 3 for Music,Assessment Area 3 for Music,40.07,65.86,33,90.63,45,55.94,40.04,35,13.85,19.17,35,70,W,29,45,5,19,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Music,D,D,20,Subject Content 4 for Music,Assessment Area 4 for Music,27.77,49.27,57,52.35,63,18.24,1.15,30,76.37,57.97,94,80,W,28,16,65,31,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Music,B,B,25,Subject Content 5 for Music,Assessment Area 5 for Music,32.46,68.7,77,85.27,57,53.62,26.8,44,96.58,65.44,33,2,W,93,7,89,47,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Music,D,B,19,Subject Content 6 for Music,Assessment Area 6 for Music,42.38,73.44,90,67.6,61,77.16,32.82,68,11.51,26.24,70,74,W,18,96,80,36,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Music,A,B,10,Subject Content 7 for Music,Assessment Area 7 for Music,61.21,37.84,72,78.75,52,82.45,64.63,98,99.41,77.05,20,25,W,9,76,69,35,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Music,C,Z,22,Subject Content 8 for Music,Assessment Area 8 for Music,35.79,77.71,92,48.09,69,36.11,29.53,81,14.04,94.32,15,82,W,67,32,68,80,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Music,B,Z,6,Subject Content 9 for Music,Assessment Area 9 for Music,9.33,22.6,80,76.61,97,25.77,32.25,81,55.93,47.12,75,51,W,16,48,36,92,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Music,D,Z,2,Subject Content 10 for Music,Assessment Area 10 for Music,46.47,65.66,25,35.4,53,16.59,47.89,66,35.37,68.11,53,22,W,77,12,54,75,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Music,D,B,18,Subject Content 1 for Music,Assessment Area 1 for Music,53.78,70.86,48,28.64,73,80.11,24.48,18,41.4,40.64,31,60,W,23,56,69,24,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Music,A,A,17,Subject Content 2 for Music,Assessment Area 2 for Music,59.85,15.55,58,61.32,87,86.62,11.01,18,60.57,89.09,51,33,W,97,77,27,4,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Music,A,A,11,Subject Content 3 for Music,Assessment Area 3 for Music,74.58,54.93,54,39.14,90,19.97,44.72,80,8.81,31.76,66,6,W,90,42,43,37,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Music,A,B,12,Subject Content 4 for Music,Assessment Area 4 for Music,29.9,8.66,48,16.48,36,47.33,68,13,46.47,94.23,94,43,W,30,79,23,27,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Music,B,B,8,Subject Content 5 for Music,Assessment Area 5 for Music,87.33,3.95,89,77.44,62,64.28,48.41,79,38.94,18.2,70,96,W,3,93,39,17,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Music,C,Z,14,Subject Content 6 for Music,Assessment Area 6 for Music,5.67,21.71,54,49.6,72,66.28,22.56,39,15.03,23.35,58,99,W,13,28,68,90,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Music,A,A,4,Subject Content 7 for Music,Assessment Area 7 for Music,73.95,55.32,83,68.75,50,76.33,2.52,60,84.71,67.31,66,23,W,22,8,59,89,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Music,D,Z,13,Subject Content 8 for Music,Assessment Area 8 for Music,50.16,52.24,91,12.39,14,51.12,81,64,72.62,84.69,43,98,W,17,4,25,38,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Music,D,D,24,Subject Content 9 for Music,Assessment Area 9 for Music,87.84,78.55,29,67.89,79,71.51,75.51,19,3.56,13.74,99,54,W,66,2,50,11,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Music,C,C,3,Subject Content 10 for Music,Assessment Area 10 for Music,3.2,55.53,68,91.65,59,80.18,48.33,12,51.17,93.83,96,17,W,21,99,70,49,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Music,B,C,9,Subject Content 1 for Music,Assessment Area 1 for Music,72.13,4.96,54,1.19,16,36.32,33.35,29,14.07,74.16,86,93,W,88,54,67,44,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Music,A,C,16,Subject Content 2 for Music,Assessment Area 2 for Music,1.99,56.59,55,89.1,23,13.63,73.62,72,47.83,52.28,59,67,W,75,48,65,44,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Music,A,Z,15,Subject Content 3 for Music,Assessment Area 3 for Music,45.17,24.69,85,45.53,14,98.4,25.51,61,85.11,41.77,55,78,W,77,20,84,33,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Music,A,A,23,Subject Content 4 for Music,Assessment Area 4 for Music,80.74,49.13,82,57.1,22,39.98,36.79,90,74.16,21.87,93,97,W,92,65,83,31,Distinction
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,4,Class 4,Music,D,Z,5,Subject Content 5 for Music,Assessment Area 5 for Music,35.52,86.38,89,95.26,63,87.96,99.22,10,9.45,39.47,58,49,W,17,9,61,77,Distinction
"Christ King Catholic School, Bass Hill",2022,3,First Name 3,Last Name 3,10,Class 10,Art,C,Z,4,Subject Content 1 for Art,Assessment Area 1 for Art,76.39,55.56,13,67.34,50,63.29,98.51,54,79.29,31.54,19,98,W,74,3,34,86,Distinction
"Christ King Catholic School, Bass Hill",2022,3,First Name 3,Last Name 3,10,Class 10,Art,B,Z,12,Subject Content 2 for Art,Assessment Area 2 for Art,56.1,0.17,35,21.85,31,98.92,41.59,12,86.94,85.66,47,34,W,56,92,85,77,Distinction
"Christ King Catholic School, Bass Hill",2022,3,First Name 3,Last Name 3,10,Class 10,Art,B,B,10,Subject Content 3 for Art,Assessment Area 3 for Art,95.91,93.06,83,14.58,12,36.11,11.37,12,45.94,96.29,6,58,W,41,47,26,15,Distinction
"Christ King Catholic School, Bass Hill",2022,3,First Name 3,Last Name 3,10,Class 10,Art,C,A,14,Subject Content 4 for Art,Assessment Area 4 for Art,65.67,9.51,56,52.73,21,5.07,92.78,100,41.38,43.3,88,8,W,92,36,13,13,Distinction
